Gene ID	Gene Name	ERR5873116	ERR5873117	ERR5873118	ERR5873119	ERR5873120	ERR5873121	ERR5873122	ERR5873123
ENSMUSG00000000001	Gnai3	2455	2766	1921	1857	1245	3823	1424	2188
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	53	114	85	180	9	150	33	53
ENSMUSG00000000031	H19	172	236	70	331	154	1255	96	194
ENSMUSG00000000037	Scml2	37	26	13	13	5	49	14	12
ENSMUSG00000000049	Apoh	0	0	0	0	5	2	0	0
ENSMUSG00000000056	Narf	1184	1225	859	1290	371	898	415	569
ENSMUSG00000000058	Cav2	222	260	143	129	205	756	295	505
ENSMUSG00000000078	Klf6	1716	1712	954	1488	904	4497	1240	2008
ENSMUSG00000000085	Scmh1	482	564	359	419	158	473	207	344
ENSMUSG00000000088	Cox5a	349	278	341	206	148	428	272	336
ENSMUSG00000000093	Tbx2	20	59	79	66	13	94	42	63
ENSMUSG00000000094	Tbx4	0	1	0	0	0	16	7	3
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	24	56	9	41	0	44	4	0
ENSMUSG00000000125	Wnt3	40	21	16	51	1	6	7	1
ENSMUSG00000000126	Wnt9a	82	69	58	46	19	114	71	51
ENSMUSG00000000127	Fer	821	1122	764	1064	424	1217	514	859
ENSMUSG00000000131	Xpo6	1445	1620	1479	1099	386	1161	614	956
ENSMUSG00000000134	Tfe3	370	470	417	459	127	448	169	271
ENSMUSG00000000142	Axin2	394	451	373	402	121	287	124	170
ENSMUSG00000000148	Brat1	251	330	284	238	67	257	173	154
ENSMUSG00000000149	Gna12	691	789	849	761	215	1393	315	483
ENSMUSG00000000154	Slc22a18	71	77	73	50	17	90	26	36
ENSMUSG00000000157	Itgb2l	400	453	376	417	194	224	338	401
ENSMUSG00000000159	Igsf5	351	373	365	558	102	283	256	361
ENSMUSG00000000167	Pih1d2	24	28	39	9	8	47	14	33
ENSMUSG00000000168	Dlat	665	587	346	477	269	703	292	564
